distance,x,y,value
3.517034068136273106e+01,4.000000000000000000e+01,3.517034068136273106e+01,9.784735812133078525e-01
3.535070140280561191e+01,4.000000000000000000e+01,3.535070140280561191e+01,9.784735812133078525e-01
3.553106212424849986e+01,4.000000000000000000e+01,3.553106212424849986e+01,9.784735812133078525e-01
3.571142284569138781e+01,4.000000000000000000e+01,3.571142284569138781e+01,9.784735812133078525e-01
3.589178356713426865e+01,4.000000000000000000e+01,3.589178356713426865e+01,9.784735812133078525e-01
3.607214428857715660e+01,4.000000000000000000e+01,3.607214428857715660e+01,9.784735812133078525e-01
3.625250501002004455e+01,4.000000000000000000e+01,3.625250501002004455e+01,1.070085376231920016e+00
3.643286573146292540e+01,4.000000000000000000e+01,3.643286573146292540e+01,1.179266556596566096e+00
3.661322645290581335e+01,4.000000000000000000e+01,3.661322645290581335e+01,1.054189265680745446e+00
3.679358717434870130e+01,4.000000000000000000e+01,3.679358717434870130e+01,9.784735812133077415e-01
3.697394789579158925e+01,4.000000000000000000e+01,3.697394789579158925e+01,9.784735812133078525e-01
3.715430861723447009e+01,4.000000000000000000e+01,3.715430861723447009e+01,9.784735812133078525e-01
3.733466933867735804e+01,4.000000000000000000e+01,3.733466933867735804e+01,9.784735812133078525e-01
3.751503006012024599e+01,4.000000000000000000e+01,3.751503006012024599e+01,9.784735812133078525e-01
3.769539078156312684e+01,4.000000000000000000e+01,3.769539078156312684e+01,9.784735812133077415e-01
3.787575150300601479e+01,4.000000000000000000e+01,3.787575150300601479e+01,9.784735812133078525e-01
3.805611222444890274e+01,4.000000000000000000e+01,3.805611222444890274e+01,9.784735812133079635e-01
3.823647294589178358e+01,4.000000000000000000e+01,3.823647294589178358e+01,9.784735812133078525e-01
3.841683366733467153e+01,4.000000000000000000e+01,3.841683366733467153e+01,9.784735812133078525e-01
3.859719438877755948e+01,4.000000000000000000e+01,3.859719438877755948e+01,9.784735812133079635e-01
3.877755511022044033e+01,4.000000000000000000e+01,3.877755511022044033e+01,9.784735812133078525e-01
